Distance (m),Elevation (m)
0,125.0361938
10.23985448,125.3010788
20.47970897,125.3999252
30.71956345,125.204155
40.95941794,125.237114
51.19927242,125.4219284
61.43912691,125.4655304
71.67898139,125.4076462
81.91883588,125.1740265
92.15869036,124.6918793
102.3985448,124.5346756
112.6383993,124.5869522
122.8782538,124.8678665
133.1181083,124.8817825
143.3579628,124.9886017
153.5978173,125.1182327
163.8376718,124.9895248
174.0775262,124.6605377
184.3173807,124.5211105
194.5572352,124.4225235
204.7970897,124.2567062
215.0369442,124.124054
225.2767987,124.1233444
235.5166532,124.0514069
245.7565076,123.9760361
255.9963621,123.7712936
266.2362166,123.4364548
276.4760711,123.1947937
286.7159256,123.6069641
296.9557801,124.8335724
307.1956345,126.0502701
317.435489,126.4056473
327.6753435,126.7123489
337.915198,126.3812714
348.1550525,124.2622223
358.394907,122.4561462
368.6347615,121.9001694
378.8746159,121.9760284
389.1144704,122.1314774
399.3543249,122.2982788
409.5941794,122.5587158
419.8340339,122.7281342
430.0738884,122.4469299
440.3137428,122.3056564
450.5535973,122.4348602
460.7934518,122.4341965
471.0333063,122.6309128
481.2731608,123.0108185
491.5130153,122.5525818
501.7528698,121.4994736
511.9927242,120.8549728
522.2325787,121.0125122
532.4724332,121.436615
542.7122877,121.458786
552.9521422,121.3252716
563.1919967,121.1440811
573.4318511,120.9023209
583.6717056,121.2356262
593.9115601,121.7562332
604.1514146,121.4271393
614.3912691,120.8685303
624.6311236,120.8797989
634.8709781,120.4481201
645.1108325,120.1956406
655.350687,120.0545959
665.5905415,119.8854675
675.830396,119.8826523
686.0702505,119.6349487
696.310105,119.4471741
706.5499595,119.635025
716.7898139,119.7819977
727.0296684,119.517746
737.2695229,119.4220505
747.5093774,119.1578979
757.7492319,118.9067154
767.9890864,118.9368515
778.2289408,118.9961166
788.4687953,119.005127
798.7086498,119.0535049
808.9485043,119.1422501
819.1883588,119.3383942
829.4282133,119.7058334
839.6680678,119.5605316
849.9079222,119.2597961
860.1477767,119.0649719
870.3876312,119.1660538
880.6274857,119.0112152
890.8673402,118.4753342
901.1071947,118.4579926
911.3470491,118.8108292
921.5869036,118.951973
931.8267581,118.9713669
942.0666126,118.7156754
952.3064671,118.140564
962.5463216,118.3107681
972.7861761,118.8824692
983.0260305,119.049118
993.265885,118.2839737
1003.50574,118.0385132
1013.745594,118.1241074
1023.985448,117.9854355
1034.225303,118.0232773
1044.465157,117.9960938
1054.705012,117.8686218
1064.944866,118.2354507
1075.184721,118.5816116
1085.424575,118.4570084
1095.66443,118.1418686
1105.904284,118.0119934
1116.144139,117.7903595
1126.383993,117.6970215
1136.623848,117.4170456
1146.863702,117.1386414
1157.103557,117.1131668
1167.343411,117.180603
1177.583266,117.5995178
1187.82312,118.0956192
1198.062975,118.1535797
1208.302829,117.9914246
1218.542684,118.0434723
1228.782538,118.3732376
1239.022393,118.4858475
1249.262247,118.5348587
1259.502102,118.2260132
1269.741956,117.6771393
1279.981811,117.7957916
1290.221665,117.965416
1300.46152,118.0193558
1310.701374,118.054039
1320.941229,118.0126572
1331.181083,118.1105499
1341.420938,118.3347092
1351.660792,118.3893204
1361.900646,118.556015
1372.140501,118.4712372
1382.380355,118.2274704
1392.62021,118.1619492
1402.860064,118.279747
1413.099919,118.7853699
1423.339773,119.0158997
1433.579628,118.8193512
1443.819482,118.8341751
1454.059337,118.8593445
1464.299191,118.9957275
1474.539046,118.7116089
1484.7789,118.8211517
1495.018755,119.1876068
1505.258609,119.1279449
1515.498464,119.045845
1525.738318,118.797142
1535.978173,118.42453
1546.218027,118.1674728
1556.457882,118.3192215
1566.697736,118.0724487
1576.937591,118.0078506
1587.177445,118.2393875
1597.4173,118.2367935
1607.657154,117.9965668
1617.897009,118.136467
1628.136863,118.2685928
1638.376718,118.2569885
1648.616572,117.8189468
1658.856427,117.7493973
1669.096281,118.1548309
1679.336136,118.3639603
1689.57599,118.4364471
1699.815844,118.179657
1710.055699,117.6241608
1720.295553,117.3908844
1730.535408,117.1513443
1740.775262,117.3443909
1751.015117,117.5970001
1761.254971,117.3022919
1771.494826,117.131691
1781.73468,117.558754
1791.974535,117.5461044
1802.214389,117.7629471
1812.454244,117.5517731
1822.694098,116.9917679
1832.933953,117.0109177
1843.173807,117.1366196
1853.413662,117.3166885
1863.653516,117.9319229
1873.893371,118.0992279
1884.133225,117.9833298
1894.37308,118.1518097
1904.612934,118.1010818
1914.852789,117.9979553
1925.092643,117.6969147
1935.332498,117.4419022
1945.572352,118.0274963
1955.812207,118.3325043
1966.052061,118.0211868
1976.291916,117.9039001
1986.53177,117.7728195
1996.771625,117.6531219
2007.011479,117.4230881
2017.251334,117.1874161
2027.491188,117.4245987
2037.731042,117.4262238
2047.970897,117.3814774
2058.210751,117.7500229
2068.450606,117.8820572
2078.69046,118.0103455
2088.930315,117.8142776
2099.170169,117.6433334
2109.410024,117.4347076
2119.649878,117.2335587
2129.889733,117.0324707
2140.129587,117.1477737
2150.369442,117.3372955
2160.609296,117.3807373
2170.849151,117.4732666
2181.089005,117.5146179
2191.32886,117.5135422
2201.568714,117.4599228
2211.808569,117.3848724
2222.048423,117.3217545
2232.288278,117.1366425
2242.528132,117.0413666
2252.767987,117.2529755
2263.007841,117.4304428
2273.247696,117.5780258
2283.48755,117.7702713
2293.727405,117.8993073
2303.967259,117.8389511
2314.207114,117.7341461
2324.446968,117.383316
2334.686823,117.4169235
2344.926677,117.4026794
2355.166532,117.2605896
2365.406386,117.3569412
2375.64624,117.2541885
2385.886095,117.5910416
2396.125949,117.7388687
2406.365804,117.9139786
2416.605658,118.0447235
2426.845513,118.3503342
2437.085367,118.1021118
2447.325222,117.5338669
2457.565076,118.1209183
2467.804931,118.297493
2478.044785,118.1001511
2488.28464,117.9553986
2498.524494,117.8990631
2508.764349,118.0370178
2519.004203,117.7071838
2529.244058,117.1981888
2539.483912,117.1559906
2549.723767,117.0479202
2559.963621,117.0518723
2570.203476,117.5768967
2580.44333,117.5743408
2590.683185,117.4745483
2600.923039,117.3784866
2611.162894,117.0674133
2621.402748,117.3338699
2631.642603,117.5417557
2641.882457,117.2081528
2652.122312,117.2039108
2662.362166,117.4419098
2672.602021,117.7221069
2682.841875,118.1326141
2693.081729,118.1856384
2703.321584,118.0601807
2713.561438,117.8089218
2723.801293,117.4748459
2734.041147,117.8162918
2744.281002,118.1820297
2754.520856,118.1823349
2764.760711,118.10392
2775.000565,118.040863
2785.24042,118.2507858
2795.480274,118.1679382
2805.720129,118.0145416
2815.959983,118.1714478
2826.199838,118.2557831
2836.439692,118.1986389
2846.679547,118.4964752
2856.919401,118.8699799
2867.159256,119.0739136
2877.39911,119.1531372
2887.638965,119.1007156
2897.878819,118.7529831
2908.118674,118.8156281
2918.358528,118.9586182
2928.598383,118.8408432
2938.838237,118.8402481
2949.078092,118.7963028
2959.317946,119.1027832
2969.557801,118.6813812
2979.797655,118.1991425
2990.03751,118.1585312
3000.277364,118.2617722
3010.517219,118.4743576
3020.757073,118.4771805
3030.996927,118.3658447
3041.236782,118.2577667
3051.476636,118.0566635
3061.716491,118.0213776
3071.956345,118.0801468
3082.1962,118.0295639
3092.436054,118.0038757
3102.675909,117.7601013
3112.915763,117.70755
3123.155618,118.3394165
3133.395472,118.5349655
3143.635327,118.4483414
3153.875181,118.2809372
3164.115036,118.0475311
3174.35489,118.0515823
3184.594745,118.1969833
3194.834599,117.9984512
3205.074454,117.4683685
3215.314308,117.0886002
3225.554163,117.1298218
3235.794017,117.161972
3246.033872,117.4864655
3256.273726,117.7232132
3266.513581,117.8330994
3276.753435,118.0682068
3286.99329,118.256218
3297.233144,118.59198
3307.472999,118.6402817
3317.712853,118.1829224
3327.952708,117.9351883
3338.192562,118.0983505
