Distance (m),Elevation (m)
0,125.3496094
14.4657621,125.7814407
28.9315242,125.4688416
43.3972863,125.4620132
57.86304839,125.4121857
72.32881049,125.4411926
86.79457259,124.7731934
101.2603347,124.4886398
115.7260968,124.7421265
130.1918589,124.8159027
144.657621,125.0606918
159.1233831,125.0880432
173.5891452,124.6148911
188.0549073,124.4493256
202.5206694,124.2365799
216.9864315,124.081604
231.4521936,123.8887405
245.9179557,123.690567
260.3837178,123.3582306
274.8494799,123.0736237
289.315242,123.0581512
303.7810041,122.8410645
318.2467662,123.0846329
332.7125283,123.3862534
347.1782904,122.9975815
361.6440525,122.7784729
376.1098146,123.4842682
390.5755767,123.3582764
405.0413388,122.7069244
419.5071009,122.5816193
433.972863,122.1665039
448.4386251,121.6681366
462.9043872,122.3729706
477.3701493,121.3310394
491.8359114,121.1400375
506.3016735,121.5514297
520.7674356,122.041687
535.2331977,123.7095261
549.6989597,125.0980225
564.1647218,124.52108
578.6304839,122.8113251
593.096246,121.7840042
607.5620081,121.91185
622.0277702,122.0504303
636.4935323,122.1339722
650.9592944,122.3134308
665.4250565,122.2970276
679.8908186,121.8146744
694.3565807,121.8478394
708.8223428,122.73526
723.2881049,122.7387772
737.753867,122.7667847
752.2196291,123.1581421
766.6853912,122.3643341
781.1511533,122.8896332
795.6169154,123.0716476
810.0826775,123.3577347
824.5484396,123.1138916
839.0142017,123.0093994
853.4799638,123.4560776
867.9457259,123.5837402
882.411488,123.6905975
896.8772501,123.6126099
911.3430122,123.9690552
925.8087743,124.302681
940.2745364,124.5683212
954.7402985,124.8049774
969.2060606,125.0254211
983.6718227,125.2349014
998.1375848,125.4333725
1012.603347,125.6158981
1027.069109,125.7724915
1041.534871,125.8832092
1056.000633,125.8985901
1070.466395,125.8568192
1084.932157,125.9254761
1099.397919,125.4673691
1113.863682,125.25737
1128.329444,124.8291245
1142.795206,124.3715286
1157.260968,124.3369217
1171.72673,124.0425034
1186.192492,125.3195953
1200.658254,127.8955231
1215.124016,128.4170074
1229.589778,126.8322449
1244.05554,125.3515701
1258.521303,125.3726654
1272.987065,125.7342911
1287.452827,126.416069
1301.918589,127.1195602
1316.384351,127.0284805
1330.850113,127.3500061
1345.315875,127.908432
1359.781637,127.8701248
1374.247399,127.6218338
1388.713161,127.6176834
1403.178924,127.7716599
1417.644686,127.5453033
1432.110448,127.0205688
1446.57621,127.1448517
1461.041972,127.3733215
1475.507734,126.8244247
1489.973496,126.4531784
1504.439258,126.4543991
1518.90502,127.2054214
1533.370782,127.1942291
1547.836545,127.002182
1562.302307,126.9011154
1576.768069,126.7172928
1591.233831,127.4812469
1605.699593,130.1876526
1620.165355,133.7502747
1634.631117,137.0474548
1649.096879,139.7387543
1663.562641,139.634903
1678.028403,139.994751
1692.494166,141.5513611
1706.959928,143.1688843
1721.42569,145.27771
1735.891452,146.1051941
1750.357214,146.8317261
1764.822976,147.7226715
1779.288738,149.2171478
1793.7545,150.1767273
1808.220262,152.0683594
1822.686024,153.4072571
1837.151787,154.6238098
1851.617549,156.4510651
1866.083311,158.1916504
1880.549073,160.4127502
1895.014835,162.6904144
1909.480597,163.416687
1923.946359,164.7828369
1938.412121,165.9072571
1952.877883,166.5574951
1967.343645,167.2488098
1981.809408,168.6683502
1996.27517,169.5010223
2010.740932,169.8968964
2025.206694,171.1032867
