Distance (m),Elevation (m)
0,283.6793518
23.57695809,283.5177002
47.15391619,283.4414673
70.73087428,282.9930115
94.30783237,282.9883118
117.8847905,282.563324
141.4617486,282.840271
165.0387066,282.9766235
188.6156647,283.0135498
212.1926228,283.1952515
235.7695809,282.9223633
259.346539,282.6196289
282.9234971,282.7397461
306.5004552,282.2754211
330.0774133,283.797821
353.6543714,284.6541443
377.2313295,283.4163208
400.8082876,281.5808716
424.3852457,279.8775024
447.9622038,279.3969421
471.5391619,279.9137268
495.1161199,280.699707
518.693078,282.0507813
542.2700361,283.2648621
565.8469942,283.7330933
589.4239523,283.379364
613.0009104,283.2433472
636.5778685,282.2067261
660.1548266,282.0089722
683.7317847,281.8418274
707.3087428,281.8729248
730.8857009,281.0944824
754.462659,281.4375305
778.0396171,282.1445618
801.6165751,282.334137
825.1935332,282.5402527
848.7704913,282.0057678
872.3474494,281.4110107
895.9244075,281.1514587
919.5013656,280.7351379
943.0783237,279.8821716
966.6552818,279.3520813
990.2322399,278.4634705
1013.809198,277.2333374
1037.386156,275.4257202
1060.963114,273.9293213
1084.540072,272.4140015
1108.11703,270.5509338
1131.693988,269.2060242
1155.270947,267.1158447
1178.847905,266.1979675
1202.424863,265.0722351
1226.001821,264.5222778
1249.578779,262.563385
1273.155737,260.2458496
1296.732695,259.3916626
1320.309653,258.8416138
1343.886611,258.1177368
1367.463569,257.6598511
1391.040527,256.3729858
1414.617486,256.1755066
1438.194444,255.8843079
1461.771402,256.0008545
1485.34836,255.0491486
1508.925318,253.4554749
1532.502276,252.5959473
1556.079234,252.4550171
1579.656192,252.9437103
1603.23315,252.1480713
1626.810108,251.2957458
1650.387066,250.6399841
1673.964025,250.3656769
1697.540983,250.3379211
1721.117941,250.9131317
1744.694899,251.1604004
1768.271857,251.6468201
1791.848815,252.2697449
1815.425773,252.8698883
1839.002731,254.2451172
1862.579689,255.9655457
1886.156647,258.105957
1909.733605,259.8996277
1933.310564,261.5318604
1956.887522,262.4153748
1980.46448,262.1950073
2004.041438,262.3974609
2027.618396,260.6459045
2051.195354,258.979248
2074.772312,258.3809204
2098.34927,257.3921509
2121.926228,256.6546631
2145.503186,256.3230591
2169.080145,256.1092529
2192.657103,257.0551758
2216.234061,258.2983093
2239.811019,260.1750183
2263.387977,262.3559265
2286.964935,263.5579834
2310.541893,265.5312805
2334.118851,267.8251953
2357.695809,269.8292542
2381.272767,271.9811401
2404.849725,274.1734924
2428.426684,275.6264648
2452.003642,277.7570496
2475.5806,278.9171753
2499.157558,279.1617126
2522.734516,279.5655518
2546.311474,279.5651855
2569.888432,279.5709839
2593.46539,279.8463135
2617.042348,279.3340759
2640.619306,280.4447937
2664.196264,281.2516479
2687.773223,281.2077026
2711.350181,281.7972107
2734.927139,281.087616
2758.504097,280.3548279
2782.081055,280.9992676
2805.658013,280.3267822
2829.234971,279.9388428
2852.811929,279.6112061
2876.388887,279.3291931
2899.965845,279.1376343
2923.542803,278.7927246
2947.119762,278.776123
2970.69672,277.6130066
2994.273678,277.8033447
3017.850636,277.2720337
3041.427594,276.3777466
3065.004552,275.9176331
3088.58151,275.7939758
3112.158468,275.1205444
3135.735426,274.9819336
3159.312384,274.2166138
3182.889342,273.2741394
3206.466301,272.6712646
3230.043259,271.9996948
3253.620217,271.500946
3277.197175,271.1273804
3300.774133,270.5718384
3324.351091,270.3833008
3347.928049,269.8952637
3371.505007,269.5817261
3395.081965,268.9728394
3418.658923,269.0472717
3442.235882,268.8200989
3465.81284,268.9639282
3489.389798,268.8663025
3512.966756,269.0925293
3536.543714,268.8507996
3560.120672,268.6329651
3583.69763,268.9783325
3607.274588,268.6679993
3630.851546,268.7120972
3654.428504,268.7471924
3678.005462,268.2837524
3701.582421,268.2772217
3725.159379,267.916748
3748.736337,267.2982483
3772.313295,266.9130554
3795.890253,266.6246338
3819.467211,265.5194702
3843.044169,265.8649292
3866.621127,265.0618896
3890.198085,263.9809265
3913.775043,263.0680237
3937.352001,262.228363
3960.92896,261.8572693
3984.505918,260.7791138
4008.082876,260.0003052
4031.659834,258.7624207
4055.236792,257.8536682
4078.81375,256.939209
4102.390708,256.2128601
4125.967666,255.1898041
4149.544624,254.2601929
4173.121582,253.4366302
4196.69854,252.97612
